2024-11-20 19:35:32 [INFO] - Application Started
2024-11-20 19:35:32 [INFO] - Running tests in verbose mode
2024-11-20 19:35:32 [INFO] - Running tests from path: "src_tests"
2024-11-20 19:35:32 [INFO] - Removing all files in directory: "src_tests\\extract/output"
2024-11-20 19:35:32 [INFO] - Running method extraction tests from directory src_tests
2024-11-20 19:35:38 [INFO] - Test 1 | PASSED | Error: lex error: argument_and_locals in 5.78s
2024-11-20 19:35:39 [INFO] - Test 2 | PASSED | Error: lex error: argument_form_expr in 826.90ms
2024-11-20 19:35:40 [INFO] - Test 3 | PASSED | Error: lex error: argument_used_twice_form_expr in 1.02s
2024-11-20 19:35:41 [INFO] - Test 4 | PASSED | Error: lex error: break_from_nested_and_outer_loops in 1.01s
2024-11-20 19:35:42 [INFO] - Test 5 | PASSED | Error: lex error: break_from_nested_loop in 1.04s
2024-11-20 19:35:43 [INFO] - Test 6 | PASSED | Error: lex error: break_loop in 1.15s
2024-11-20 19:35:44 [INFO] - Test 7 | PASSED | Error: lex error: break_loop_nested in 786.51ms
2024-11-20 19:35:45 [INFO] - Test 8 | PASSED | Error: lex error: break_loop_nested_labeled in 932.40ms
2024-11-20 19:35:46 [INFO] - Test 9 | PASSED | Error: lex error: break_loop_with_if in 826.17ms
2024-11-20 19:35:46 [INFO] - Test 10 | PASSED | Error: lex error: break_stmt in 775.28ms
2024-11-20 19:35:53 [INFO] - Test 11 | PASSED | Error: lex error: break_with_value in 6.15s
2024-11-20 19:35:54 [INFO] - Test 12 | PASSED | Error: lex error: break_with_value_and_label in 1.12s
2024-11-20 19:35:55 [INFO] - Test 13 | PASSED | Error: lex error: break_with_value_and_return in 965.77ms
2024-11-20 19:35:56 [INFO] - Test 14 | PASSED | Error: lex error: closure_arguments in 964.69ms
2024-11-20 19:35:57 [INFO] - Test 15 | PASSED | Error: lex error: comments_in_block_expr in 1.07s
2024-11-20 19:35:58 [INFO] - Test 16 | PASSED | Error: lex error: continue_loop_nested_labeled in 1.35s
2024-11-20 19:36:00 [INFO] - Test 17 | PASSED | Error: lex error: copy_custom_used_after in 1.53s
2024-11-20 19:36:01 [INFO] - Test 18 | PASSED | Error: lex error: copy_used_after in 1.09s
2024-11-20 19:36:02 [INFO] - Test 19 | PASSED | Error: lex error: does_not_add_extra_whitespace in 1.19s
2024-11-20 19:36:03 [INFO] - Test 20 | PASSED | Error: lex error: does_not_import_control_flow in 1.16s
2024-11-20 19:36:04 [INFO] - Test 21 | PASSED | Error: lex error: dont_emit_type_with_hidden_lifetime_parameter in 1.16s
2024-11-20 19:36:05 [INFO] - Test 22 | PASSED | Error: lex error: empty_generic_param_list in 1.32s
2024-11-20 19:36:06 [INFO] - Test 23 | PASSED | Error: lex error: extract_cast in 1.01s
2024-11-20 19:36:08 [INFO] - Test 24 | PASSED | Error: lex error: extract_does_not_tear_body_apart in 1.10s
2024-11-20 19:36:09 [INFO] - Test 25 | PASSED | Error: lex error: extract_does_not_tear_comments_apart in 1.07s
2024-11-20 19:36:15 [INFO] - Test 26 | PASSED | Error: lex error: extract_does_not_wrap_res_in_res in 6.18s
2024-11-20 19:36:16 [INFO] - Test 27 | PASSED | Error: expected `,`: extract_from_nested in 1.45s
2024-11-20 19:36:17 [INFO] - Test 28 | PASSED | Error: lex error: extract_function_copies_comment_at_end in 1.06s
2024-11-20 19:36:18 [INFO] - Test 29 | PASSED | Error: lex error: extract_function_copies_comment_at_start in 946.76ms
2024-11-20 19:36:19 [INFO] - Test 30 | PASSED | Error: lex error: extract_function_copies_comment_in_between in 1.04s
2024-11-20 19:36:20 [INFO] - Test 31 | PASSED | Error: lex error: extract_function_copies_comment_indented in 957.04ms
2024-11-20 19:36:21 [INFO] - Test 32 | PASSED | Error: lex error: extract_function_does_preserve_whitespace in 879.53ms
2024-11-20 19:36:27 [INFO] - Test 33 | PASSED | Error: lex error: extract_function_from_trait_with_existing_non_empty_impl_block in 5.98s
2024-11-20 19:36:28 [INFO] - Test 34 | PASSED | Error: lex error: extract_function_long_form_comment in 1.02s
2024-11-20 19:36:29 [INFO] - Test 35 | PASSED | Error: lex error: extract_method_from_trait_impl in 934.76ms
2024-11-20 19:36:30 [INFO] - Test 36 | PASSED | Error: lex error: extract_method_from_trait_with_existing_non_empty_impl_block in 877.18ms
2024-11-20 19:36:31 [INFO] - Test 37 | PASSED | Error: lex error: extract_method_from_trait_with_multiple_existing_impl_blocks in 939.30ms
2024-11-20 19:36:32 [INFO] - Test 38 | PASSED | Error: lex error: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 853.10ms
2024-11-20 19:36:34 [INFO] - Test 39 | PASSED | Error: lex error: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.72s
2024-11-20 19:36:35 [INFO] - Test 40 | PASSED | Error: lex error: extract_partial_block in 1.83s
2024-11-20 19:36:37 [INFO] - Test 41 | PASSED | Error: lex error: extract_partial_block_single_line in 1.14s
2024-11-20 19:36:38 [INFO] - Test 42 | PASSED | Error: lex error: extract_return_stmt in 1.16s
